decimalLatitude;decimalLongitude
36.699942;-5.419897
36.825153;4.996879
30.982942;-8.228
40.411956;-3.688294
41.413269;2.114117
42.01;3.08
39.65;2.47
42.41;2.93
41.72;2.43
37.187504;-7.422757
40.045091;4.098955
38.739692;-9.181422
42.821955;-1.60867
36.636077;-6.392193
40.023634;4.192445
38.47862;-8.59245
39.640278;-8.776111
38.757812;-8.943393
41.945093;3.218118
41.963075;3.220673
37.15269;-7.932528
37.085165;-7.91895
37.155246;-8.310796
37.072776;-7.970334
37.163333;-8.281058
40.892649;-6.962188
39.239883;-7.318354
37.095622;-8.440245
39.192204;-7.281225
37.303671;-8.797809
38.187944;-8.564583
37.098879;-7.960646
37.09195;-7.886844
37.118501;-8.541636
40.158802;-8.2306
37.090626;-8.073288
37.033278;-7.816389
37.179449;-7.439435
38.182206;-8.521163
37.09966;-8.383443
37.071956;-7.981532
37.301283;-8.800121
39.71881;-8.550233
37.340631;-7.449502
37.069471;-7.980006
37.07075;-7.980576
37.18105;-7.983224
40.192491;-8.466887
37.116204;-8.403731
39.236165;-7.321693
37.055707;-7.947033
39.3694;-7.324883
37.061458;-7.941606
41.917846;-8.45009
37.093876;-7.860002
38.66113;-9.207441
39.718431;-8.549391
37.073215;-7.924391
37.110752;-8.397868
41.5512;-8.412135
37.136078;-8.547677
37.071566;-7.717551
38.294853;-8.53402
42.071078;-8.368195
37.117263;-7.927423
37.185287;-7.991875
39.415741;-7.44781
37.233926;-8.17834
37.339533;-7.982768
37.315752;-8.008405
37.260599;-8.812236
37.083055;-7.956146
39.366573;-7.39089
40.101039;-8.831454
40.240394;-8.06772
37.04434;-7.952365
40.233379;-8.06101
37.065187;-7.963368
38.771272;-7.716525
37.207841;-7.435534
37.22412;-7.94983
37.067101;-7.955891
37.083394;-7.917173
42.074989;-8.393819
37.335514;-7.465255
39.23689;-7.323801
38.841602;-7.595276
37.112443;-8.390632
37.099671;-7.966308
39.395268;-7.379021
37.129475;-7.918377
37.068043;-7.979947
37.3444;-7.994403
38.616902;-9.045881
38.616934;-9.030129
38.406774;-8.747338
39.718847;-8.550214
37.030875;-7.935784
37.283944;-7.94934
37.152085;-8.555489
40.1721;-8.179589
37.092317;-7.961433
37.092275;-7.957739
38.294591;-8.534169
37.050461;-7.979528
38.129251;-8.788998
37.068248;-7.766967
43.124434;6.059512
41.282213;-8.349945
39.284242;-7.428455
40.230018;-4.002247
38.736779;-9.194655
40.182035;-5.143898
38.73687;-9.194908
40.268833;-4.853192
48.836792;2.279153
48.249134;4.337357
43.313247;-0.376947
30.433215;-9.585665
45.444199;3.285436
35.185551;-6.166614
48.909484;2.144399
44.899722;8.611667
47.17;-1.553056
49.586008;3.113487
45.578136;8.791735
48.599426;0.670334
48.121626;-1.596775
48.681871;2.966478
45.566047;5.944483
40.456455;-3.715465
41.583514;9.307247
44.104616;2.258629
48.796258;2.154768
45.70213;4.815194
45.142293;-1.161132
43.702831;7.291443
48.121626;-1.596775
45.294263;9.169654
43.608025;1.468234
41.482886;2.090692
47.500321;-2.165815
44.899722;8.611667
48.278181;4.07536
47.17802;-1.50165
47.184057;-1.685453
37.078527;-8.272419
45.036667;4.683056
43.683514;0.073255
46.212503;5.215778
45.677177;0.24167
41.107025;0.65434
43.100616;-0.41909
49.586008;3.113487
49.257035;3.951591
47.984465;-4.4603
43.155373;6.032488
36.67171;2.961348
49.178476;-0.226834
43.702799;7.291299
36.672345;2.961221
39.221145;-3.632726
40.41388;-7.951981
49.586008;3.113487
42.053002;3.148628
42.056208;1.904037
36.671741;2.961368
36.787867;-4.958217
36.036355;-5.622122
40.454223;-3.723054
39.538173;2.723573
40.319785;-3.779324
34.031615;-6.835556
42.366389;3.148889
43.712826;2.210722
39.701698;-0.534201
37.076568;-8.289445
41.842778;-1.178544
47.220028;-1.681058
43.654131;7.16034
42.506667;3.126667
44.229755;8.415433
43.11961;2.157655
45.511343;1.324707
45.299944;3.521285
41.138028;1.26681
42.519949;3.117513
39.53596;2.444673
43.95297;4.763589
36.37258;-6.186102
42.610911;-8.636915
40.156772;-0.389988
38.513775;-0.209589
45.082308;1.560188
38.747677;-9.245129
36.442971;3.306624
36.442971;3.306624
42.116504;-8.851652
36.442971;3.306624
40.366786;-3.52741
41.442206;-0.884543
40.745737;-3.512724
39.608936;2.706093
42.511713;3.129315
38.093978;-0.659581
39.608834;2.706164
44.255959;4.616068
48.807778;2.337222
36.671618;2.961684
39.961202;-0.263618
42.496667;3.131667
42.521846;3.111364
45.83052;1.263964
43.109438;6.127186
43.224971;6.146263
42.48343;3.128874
39.927958;-7.236922
39.492589;-7.95608
43.732006;7.427802
39.992517;9.689077
41.515293;8.949471
41.34716;-7.277469
38.815371;-9.463378
37.231625;-5.3864
38.873498;-8.153732
39.293785;-9.242062
39.437659;9.577306
39.286459;-7.424829
39.536943;-0.495737
42.269984;-8.860094
39.284536;-9.231321
39.286388;-9.258064
37.113889;-7.776389
39.076078;-8.169977
41.059894;-6.904304
39.253982;-7.447449
40.841077;9.691755
44.122703;5.02802
44.575832;1.227213
38.883069;-0.077848
42.67688;-1.803022
40.817828;0.643158
40.815784;0.643616
40.819647;0.643158
36.72063;-4.416848
42.853151;-1.809897
40.81523;0.645561
40.819387;0.641441
40.81277;0.64064
42.656213;-1.313753
40.818348;0.642471
40.818348;0.642471
40.817828;0.643158
40.819127;0.642471
40.817655;0.642471
41.478333;-7.126111
40.818348;0.642471
40.820166;0.641785
36.419867;-5.736494
40.81277;0.64064
40.819647;0.642815
40.819907;0.641785
42.89506;3.052567
42.516023;3.137287
40.818348;0.642471
40.818348;0.642471
40.816529;0.643845
42.2883;3.261442
35.790325;-5.923905
36.07;-5.6
40.818607;0.643501
37.211957;-4.384359
40.820426;0.643501
40.817135;0.643845
40.817828;0.643158
40.817915;0.644188
40.818607;0.641785
40.817828;0.643158
40.817828;0.643158
40.819647;0.644875
40.819127;0.641785
40.817828;0.643158
40.780117;0.716106
42.525097;3.079627
39.778018;3.11901
42.310568;3.287544
40.817828;0.643158
40.81277;0.64064
40.818607;0.641785
40.818348;0.642471
40.81277;0.64064
40.816529;0.643845
40.818348;0.642471
40.818607;0.643501
40.819387;0.641441
40.819907;0.642128
40.817655;0.642471
40.820773;0.643501
40.820773;0.643501
40.818607;0.643501
40.818607;0.643158
40.819647;0.643158
42.591238;3.04416
40.814745;0.642929
40.818348;0.642471
40.819785;0.644073
40.819647;0.642815
40.819473;0.642471
40.819127;0.643501
40.817655;0.642471
40.817828;0.643158
40.819473;0.642471
40.818348;0.642471
40.818348;0.642471
40.819127;0.643501
40.819907;0.642128
40.819473;0.642471
40.816529;0.643845
40.81549;0.646248
37.636197;-0.72509
36.905386;-3.436403
39.675278;8.460556
37.801532;-1.425508
40.818607;0.643501
31.524688;-7.479303
44.457812;4.29107
39.786767;2.689948
36.98715;-4.46813
40.814745;0.642929
38.878339;-0.087204
40.818348;0.642471
36.200661;-5.405259
42.319551;3.317871
36.464229;-5.652981
37.749645;-8.77048
42.581584;-1.258414
39.218764;-8.980594
42.939028;-1.66668
39.782024;2.711959
40.820166;0.642471
40.819127;0.641785
31.323525;-7.952212
40.81523;0.644875
40.819647;0.644875
40.81277;0.64064
40.819127;0.642471
40.819473;0.641785
40.818607;0.643845
