latitud;longitud
44.46616;4.31998
43.39397;3.18505
43.92462;4.43199
43.30415;2.93841
43.12425;2.9386
43.48267;3.55601
42.85445;2.93889
44.10459;4.43652
43.6636;3.30987
43.75103;3.8069
42.67323;2.45171
43.66007;3.92957
43.03431;2.9387
43.12425;3.0614
42.76369;2.57289
42.67253;2.32987
44.28758;4.1905
42.94437;3.06121
43.9276;4.18299
42.76453;2.93898
43.48323;3.43246
42.94437;2.93879
43.21377;2.69254
43.66261;3.55776
43.39411;3.06168
44.02;3.93544
43.83889;4.05681
42.5818;2.20926
43.03221;2.32571
43.74764;4.17927
43.3033;3.43111
43.03137;2.20312
44.46888;4.06859
42.76453;2.93898
43.74764;4.17927
43.5732;3.43313
43.39326;2.56822
43.73915;4.79976
43.48196;3.67956
43.12423;2.93856
39.32552;3.002819
37.0485;-6.566691
39.737885;3.311262
39.772263;3.124924
39.762104;3.140202
39.802734;3.098059
37.0485;-6.566691
37.364155;-8.377376
43.273769;2.71328
39.772263;3.124924
39.737885;3.311262
36.453571;-5.470608
39.762104;3.140202
39.71138;2.62363
39.745342;2.714653
39.867325;3.02021
39.740788;3.183975
37.08889;-8.423889
38.686554;1.438351
39.778431;3.116255
39.774109;3.134193
39.921059;3.085527
39.753212;3.156552
39.791523;2.703838
39.787235;3.099003
39.674427;2.577667
39.572086;2.650108
37.642372;-7.655754
39.804054;3.106642
39.749435;3.174706
39.809952;3.110161
39.860867;3.087845
37.969444;-7.299722
39.759068;3.329372
39.877205;3.016262
37.155186;-8.202324
39.79937;3.114023
39.736763;3.280191
36.521571;-5.649306
37.539281;-6.149412
37.544271;-4.727753
40.170815;-5.165194
36.587517;-4.566958
40.288655;-3.440338
37.254039;-8.103922
41.227481;-8.179368
40.435288;-3.753205
39.426126;-6.484318
38.467676;-4.625983
36.404554;-5.739206
36.628944;-6.385643
40.83794;-3.499268
38.720284;-9.193063
36.71309;-6.407211
38.473866;-8.995301
40.231392;-7.824017
37.914408;-4.803153
36.605124;-4.565549
39.735046;2.791042
39.843079;3.117542
39.740788;3.183975
37.135139;-6.532058
39.843079;3.117542
39.791523;2.703838
39.877205;3.016262
39.737885;3.311262
39.737885;3.311262
38.101681;-0.678626
37.238056;-8.1825
37.208115;-6.17157
39.921059;3.085527
39.785034;3.115326
43.46716;4.91485
43.73701;4.92388
43.64918;4.79698
43.55922;4.79417
43.73914;4.79981
43.46716;4.91485
43.91694;4.92995
43.47631;4.29731
44.27685;4.9422
44.55098;4.69977
44.36898;4.81983
44.27899;4.81694
44.54897;4.82563
44.54897;4.82563
38.89375;-9.17297
37.17757;-8.04247
37.17168;-7.47936
40.06405;-8.47233
37.17553;-7.81721
40.06346;-8.35507
38.53272;-8.59843
38.89386;-9.05766
38.26191;-8.48562
38.15592;-7.00263
38.15592;-7.00263
37.17435;-7.70458
37.17842;-8.15511
37.17435;-7.70458
37.17435;-7.70458
39.2542;-9.17385
37.97941;-7.23513
38.15592;-7.00263
38.53339;-8.94263
40.96173;-7.98991
37.26179;-7.47755
37.26179;-7.47755
37.26179;-7.47755
37.17757;-8.04247
41.86652;-8.69876
40.15498;-8.70646
37.08744;-8.0436
38.89375;-9.17297
41.30526;-6.79012
41.30749;-6.9095
41.21957;-7.03159
41.30749;-6.9095
38.44316;-9.17189
38.44316;-9.17189
38.44316;-9.17189
38.44316;-9.17189
38.44316;-9.17189
38.44327;-9.0573
38.44327;-9.0573
38.44327;-9.0573
40.24364;-8.35337
40.15355;-8.35422
39.1642;-9.05788
41.13952;-7.74888
37.62493;-7.6968
39.79318;-8.3576
39.79247;-8.24081
39.79318;-8.3576
39.96592;-7.53636
38.89386;-9.05766
37.17168;-7.47936
37.17757;-8.04247
37.17168;-7.47936
37.18035;-8.49305
37.18078;-8.6057
37.08744;-8.0436
38.53272;-8.59843
38.44327;-9.0573
